mmp_ID	DB	assembly_accession	bioproject_accession	biosample_accession	genbank_accession	NCBI_refseq_accession	analysis_project_type	sequencing_depth	publication_pmid	ref_biomaterial	tRNAs	rRNA5S	rRNA16S	rRNA23S	GC	contigs	Assembly_length	N50	genomes	markers	marker_sets	zero	one	two	three	four	fivepluss	Completeness	Contamination	Strain_heterogeneity
MMP00036654	MarDB	GCA_000400245.1	PRJDB721	SAMD00036654	BAOA00000000	missing	Whole genome sequencing (WGS)	82	22066815	missing	1	2	2	2	45.16613317	282	5967563	84013	80	922	367	1	920	1	0	0	0	99.73	0.03	0
MMP02471579	MarDB	GCA_000237885.2	PRJNA74687	SAMN02471579	AGSL00000000	missing	Whole genome sequencing (WGS)	20	22328767	missing	1	1	1	1	61.38310395	130	4525590	88830	228	583	244	0	582	1	0	0	0	100	0.14	0
MMP02589594	MarDB	GCA_000521215.1	PRJNA40879	SAMN02589594	AYYG00000000	missing	Whole genome sequencing (WGS)	12.0	missing	missing	1	1	1	1	55.65974342	61	7629702	340611	107	484	316	5	477	2	0	0	0	98.58	0.47	0
MMP00713616	MarDB	GCA_000212675.2	PRJNA52831	SAMN00713616	AFHE00000000	missing	Whole genome sequencing (WGS)	missing	missing	missing	62	3	3	3	61.42083364	1	4200535	4200535	61	284	169	0	284	0	0	0	0	100	0	0
MMP02256520	MarDB	GCA_000316115.1	PRJNA43137	SAMN02256520	ALVN00000000	missing	Whole genome sequencing (WGS)	30	23277585	missing	73	0	3	3	47.61753409	5	9422969	8157109	129	471	368	1	465	5	0	0	0	99.73	1.09	0
MMP03450766	MarDB	GCA_000972705.2	PRJNA279819	SAMN03450766	LATL02000000	NZ_LATL00000000.2	Whole genome sequencing (WGS)	20	26337872	missing	1	0	2	0	41.61719043	361	7314118	23579	79	584	458	94	434	54	2	0	0	84.72	11.79	98.33
MMP02436316	MarDB	GCA_000155635.1	PRJNA19301	SAMN02436316	ABSE00000000	missing	Whole genome sequencing (WGS)	missing	missing	missing	47	0	3	3	68.69988978	2	2834253	2832413	129	472	368	3	468	1	0	0	0	99.46	0.27	0
MMP02469978	MarDB	GCA_000259075.1	PRJNA156963	SAMN02469978	AJKI00000000	NZ_AJKI00000000.1	Whole genome sequencing (WGS)	773.0	22740671	missing	1	1	1	1	41.93051176	72	4982628	149271	434	275	184	0	273	1	1	0	0	100	1.63	0
MMP02864944	MarDB	GCA_000740745.1	PRJNA252958	SAMN02864944	JPGN00000000	missing	Whole genome sequencing (WGS)	742.0	missing	missing	1	1	1	1	49.96809983	541	3579919	69108	119	540	283	10	516	14	0	0	0	97.59	2.36	0
MMP02436179	MarDB	GCA_000155655.1	PRJNA13547	SAMN02436179	ABSG00000000	missing	Whole genome sequencing (WGS)	missing	missing	missing	33	2	1	2	50.18969506	12	3480060	2006634	119	540	283	14	525	1	0	0	0	97.27	0.09	100
MMP03787460	MarDB	GCA_001273195.1	PRJNA257008	SAMN03787460	LGII01000000	missing	Whole genome sequencing (WGS)	555.104	missing	missing	17	10	1	1	27.18870181	29	3817675	790194	50	332	124	0	332	0	0	0	0	100	0	0
MMP02898118	MarDB	GCA_000740735.1	PRJNA253938	SAMN02898118	JPFN00000000	missing	Whole genome sequencing (WGS)	746.0	missing	missing	1	1	1	1	49.82653527	630	3545102	49673	119	540	283	11	517	12	0	0	0	97.47	2.11	0
MMP3530152	MarDB	GCA_001458355.1	PRJEB10706	SAMEA3530152	CYSA01000000	missing	Whole genome sequencing (WGS)	70	missing	missing	2	1	2	3	58.44144597	30	3902798	295753	56	582	313	3	579	0	0	0	0	99.25	0	0
MMP03012839	MarDB	GCA_000750065.1	PRJNA259755	SAMN03012839	JQOJ01000000	missing	Whole genome sequencing (WGS)	108.0	25377702	missing	6	10	13	5	27.33675049	150	3915342	288306	50	332	124	0	331	1	0	0	0	100	0.04	100
MMP03779992	MarDB	GCA_001573665.1	PRJNA286797	SAMN03779992	LFPF00000000	missing	Whole genome sequencing (WGS)	129.0	26939550	missing	1	3	1	1	28.07488105	65	4008652	119519	44	404	145	1	396	7	0	0	0	99.31	3.22	100
MMP03952449	MarDB	GCA_001274805.1	PRJNA291738	SAMN03952449	LHPJ01000000	missing	Whole genome sequencing (WGS)	143.0	missing	missing	2	1	1	1	45.4392757	80	4096631	285193	80	922	367	1	915	6	0	0	0	99.86	0.22	0
MMP02261338	MarDB	GCA_000332275.1	PRJNA158719	SAMN02261338	CM001776.1	missing	Whole genome sequencing (WGS)	30	23277585	missing	43	0	2	2	53.70747895	1	5066638	5066638	901	168	114	0	164	3	1	0	0	100	4.39	33.33
MMP01816343	MarDB	GCA_000487835.1	PRJNA167388	SAMN01816343	APAM00000000	missing	Whole genome sequencing (WGS)	21	24158624	missing	1	9	5	1	52.24431348	271	4814324	43707	119	1169	340	6	1161	2	0	0	0	99.56	0.18	0
MMP02469609	MarDB	GCA_000334195.1	PRJNA173088	SAMN02469609	AMDG00000000	missing	Whole genome sequencing (WGS)	15.0	missing	missing	1	3	1	1	45.0358473	213	5076255	46294	80	922	367	3	914	5	0	0	0	99.52	0.57	0
MMP02948016	MarDB	GCA_001185385.1	PRJNA257165	SAMN02948016	JPTH01000000	missing	Whole genome sequencing (WGS)	50.0	missing	missing	1	2	2	1	45.73113351	1330	5127252	7124	80	922	367	22	881	19	0	0	0	97.74	2.6	73.68
MMP01087854	MarDB	GCA_000368585.1	PRJNA183297	SAMN01087854	APPO01000000	missing	Whole genome sequencing (WGS)	253.0	missing	missing	7	5	7	5	38.75878186	5	3458265	1939924	86	689	365	0	688	1	0	0	0	100	0.05	0
MMP02471743	MarDB	GCA_000271425.1	PRJNA167043	SAMN02471743	AKIQ00000000	missing	Whole genome sequencing (WGS)	100.0	missing	missing	1	9	9	9	39.19981249	87	3464339	67953	86	689	365	0	688	1	0	0	0	100	0.05	0
MMP01816341	MarDB	GCA_000487875.1	PRJNA167386	SAMN01816341	APAO00000000	missing	Whole genome sequencing (WGS)	32	24158624	missing	2	6	7	1	52.16410472	50	4879617	148489	119	1169	340	24	1117	28	0	0	0	96.14	1.19	96.43
MMP02797807	MarDB	GCA_001438765.1	PRJNA222257	SAMN02797807	JQBV01000000	missing	Whole genome sequencing (WGS)	100	26415554	missing	1	1	1	1	34.13876637	56	3535656	261860	490	334	183	2	322	9	0	1	0	99.18	5.01	26.67
MMP02737001	MarDB	GCA_000715015.1	PRJNA245371	SAMN02737001	JMIW00000000	missing	Whole genome sequencing (WGS)	680.0	25059862	missing	1	1	1	1	57.36768641	14	3602163	632880	26	569	293	2	563	4	0	0	0	99.59	0.6	0
MMP02953434	MarDB	GCA_001634065.1	PRJNA257559	SAMN02953434	JPWZ00000000	missing	Whole genome sequencing (WGS)	100.0	missing	missing	1	0	1	1	42.05243822	263	5490729	68321	26	752	296	7	741	4	0	0	0	97.97	0.44	0
MMP02469763	MarDB	GCA_000264785.1	PRJNA66365	SAMN02469763	AFJI00000000	missing	Whole genome sequencing (WGS)	34.3	22590641	missing	3	2	1	1	57.55834251	117	3703690	90155	223	860	300	4	853	2	1	0	0	99.25	0.45	0
MMP04536551	MarDB	GCA_001597855.1	PRJNA314517	SAMN04536551	LUHI00000000	missing	Whole genome sequencing (WGS)	12.0	missing	missing	1	0	1	1	41.29541187	91	5557909	201628	82	579	450	7	571	1	0	0	0	98.56	0.22	0
MMP02261407	MarDB	GCA_000223985.2	PRJNA63055	SAMN02261407	AFWV00000000	missing	Whole genome sequencing (WGS)	30	missing	missing	8	2	3	1	64.10707456	62	5595541	312570	112	581	290	1	578	2	0	0	0	99.94	0.23	50
MMP02261503	MarDB	GCA_000464825.1	PRJNA212883	SAMN02261503	AVFY00000000	missing	Whole genome sequencing (WGS)	30.0	missing	missing	1	1	0	1	39.31983485	20	5507781	591035	79	584	458	2	580	2	0	0	0	99.56	0.01	100
MMP03176941	MarDB	GCA_000803085.1	PRJNA266989	SAMN03176941	JTDZ00000000	missing	Whole genome sequencing (WGS)	159.0	missing	missing	7	0	3	1	39.16290202	40	4501529	239013	26	752	296	0	751	1	0	0	0	100	0.17	0
MMP02440596	MarDB	GCA_000427605.1	PRJNA82181	SAMN02440596	ATYI00000000	missing	Whole genome sequencing (WGS)	missing	missing	missing	2	3	1	1	50.78477629	50	5158350	398077	263	507	232	0	505	2	0	0	0	100	0.52	0
