mmp_ID	DB	assembly_accession	bioproject_accession	biosample_accession	genbank_accession	NCBI_refseq_accession	analysis_project_type	sequencing_depth	publication_pmid	ref_biomaterial	tRNAs	rRNA5S	rRNA16S	rRNA23S	GC	contigs	Assembly_length	N50	genomes	markers	marker_sets	zero	one	two	three	four	fivepluss	Completeness	Contamination	Strain_heterogeneity
MMP00000031	MarRef	GCA_000017225.1	PRJNA18819	SAMN00000031	CP000745.1	NC_009637.1	Whole genome sequencing (WGS)	missing	missing	10.1016/S0723-2020(86)80012-1	39	3	3	3	33.28442472	1	1772695	1772695	32	308	210	2	306	0	0	0	0	99.5	0	0
MMP00000032	MarRef	GCA_000018465.1	PRJNA19265	SAMN00000032	CP000866.1	CP000866.1	Whole genome sequencing (WGS)	missing	20421470	missing	44	1	1	1	34.16750797	1	1645260	1645260	207	145	103	0	144	1	0	0	0	100	0.97	0
MMP00000040	MarRef	GCA_000006175.2	PRJNA20131	SAMN00000040	CP002057.1	NC_014222.1	Whole genome sequencing (WGS)	missing	missing	missing	40	0	2	2	28.59459395	1	1936388	1936388	32	308	210	2	306	0	0	0	0	99.05	0	0
MMP00000279	MarRef	GCA_000019625.1	PRJNA19543	SAMN00000279	CP000969	NC_010483.1	Whole genome sequencing (WGS)	missing	21952543	10.1007/BF00409880	47	1	1	1	46.17767654	1	1877694	1877694	5443	101	56	0	100	1	0	0	0	100	1.79	100
MMP00000346	MarRef	GCA_000828715.1	PRJDB1597	SAMD00000346	AP014583.1	NZ_AP014583.1	Whole genome sequencing (WGS)	46.5	24874677	24874677	57	0	2	2	32.1776927	1	3811480	3811480	47	571	303	1	567	3	0	0	0	99.67	0.54	0
MMP00001868	MarRef	GCA_000023325.1	PRJNA29419	SAMN00001868	CP001634	NC_012785.1	Whole genome sequencing (WGS)	missing	21914881	19643902	47	2	2	2	41.54598836	1	2302127	2302127	5443	104	58	0	103	1	0	0	0	100	1.72	0
MMP00001870	MarRef	GCA_000023445.1	PRJNA29541	SAMN00001870	CP001649	NC_012881.1	Whole genome sequencing (WGS)	missing	missing	PMC 277148	92	5	5	5	47.09275179	1	4289848	4289848	61	284	169	0	283	1	0	0	0	100	0.07	0
MMP00002580	MarRef	GCA_000172995.2	PRJNA20743	SAMN00002580	CP001690.1|CP001693.1|CP001694.1|CP001691.1|CP001695.1|CP001692.1	NC_014729.1|NC_014736.1|NC_014732.1|NC_014735.1|NC_014737.1|NC_014731.1	Whole genome sequencing (WGS)	9.7|21.8	21304651	9828431	52	2	2	2	59.94064597	6	3944468	2820544	40	417	263	1	415	1	0	0	0	99.92	0.05	0
MMP00002596	MarRef	GCA_000024805.1	PRJNA28711	SAMN00002596	CP001804	NC_013440.1	Whole genome sequencing (WGS)	missing	21304682	12469307	49	2	2	2	69.48338791	1	9446315	9446315	83	247	155	3	235	9	0	0	0	98.39	2.93	0
MMP00002604	MarRef	GCA_000024085.1	PRJNA29443	SAMN00002604	CP001707	NC_013166.1	Whole genome sequencing (WGS)	8.6|41	21304661	15388751	42	2	2	2	43.68710058	1	2852074	2852074	899	311	184	0	311	0	0	0	0	100	0	0
